Title,Description,Links,Publication Date
Юлию Навальную отпустили после задержания,"Жену оппозиционера Алексея Навального Юлию отпустили из ОВД «Сокол», сообщает «МБХ-медиа». Ее задержали на акции в поддержку политика в Москве. Как сообщает издание, госпожа Навальная села в машину и уехала. Составили ли на нее протокол, неизвестно. Сама Юлия Навальная пока не сообщала о своем освобождении. Алексея Навального задержали 17 января в аэропорту Шереметьево после возвращения из Германии. Суд отправил его под стражу до 15 февраля за нарушение условий испытательного срока по делу «Ив Роше». 23 января по всей России проходят акции в его поддержку. По данным «ОВД-Инфо», задержаны более 1,6 тыс. человек, больше всего в Москве — 513. О том, как проходят акции в Москве и других регионах,— в онлайн-трансляции “Ъ”.",https://www.kommersant.ru/doc/4661077,"Sat, 23 Jan 2021 18:53:00 +0300"
"«ОВД-Инфо»: по России на акциях в поддержку Навального задержали более 1,6 тыс. человек","Число задержанных на акциях в поддержку оппозиционера Алексея Навального превысило 1,6 тыс. человек — 1614, следует из данных «ОВД-Инфо». Больше всего задержали в Москве — 513. Где больше всего задержанных:Москва — 513,Санкт-Петербург — 212,Новосибирск — 92,Омск — 49,Казань — 47. Алексея Навального задержали 17 января в аэропорту Шереметьево после возвращения из Германии. Суд отправил его под стражу до 15 февраля за нарушение условий испытательного срока по делу «Ив Роше». Суд по иску ФСИН о замене его условного срока на реальный запланирован на 2 февраля.О том, как проходят акции в Москве и других регионах,— в онлайн-трансляции “Ъ”.",https://www.kommersant.ru/doc/4661071,"Sat, 23 Jan 2021 18:27:00 +0300"
Около 15 подростков задержали на митинге в Москве,"Полицейские задержали около 15 несовершеннолетних в ходе несогласованной акции в поддержку оппозиционера Алексея Навального в Москве, сообщила уполномоченный при президенте по правам ребенка Анна Кузнецова. Акции в поддержку оппозиционера сегодня проходят по всей стране.«Порядка 15 детей задержаны в Москве»,— сказала госпожа Кузнецова журналистам (цитата по ТАСС). Она уточнила, что самым младшим из них было девять и 12 лет. По ее словам, многие дети уже отпущены, а задерживали их, чтобы передать законным представителям.Ранее член Общественной палаты Сергей Рыбальченко заявил, что массовое участие несовершеннолетних в митингах удалось предотвратить. Сегодня, 23 января, правительство России дало отрицательный отзыв на проект закона, предусматривающего лишение свободы до пяти лет за вовлечение несовершеннолетних в участие в несанкционированных акциях. Ранее данную инициативу поддержал Следственный комитет.О том, как проходят акции в Москве и других регионах,— в онлайн-трансляции “Ъ”.",https://www.kommersant.ru/doc/4661069,"Sat, 23 Jan 2021 18:24:00 +0300"
В Москве проверят факты насилия в отношении силовиков на акциях протеста,"Следствие начало доследственную проверку о применении насилия в отношении сотрудников правоохранительных органов во время протестной акции в поддержку оппозиционера Алексея Навального в Москве. Об этом сообщается на сайте московского управления СКР. По предварительным данным, на митинге было несколько случаев применения насилия в отношении силовиков, заявил СКР. Конкретные примеры не приводятся. По данным источника ТАСС, в Москве пострадали 42 сотрудника правоохранительных органов, источник «РИА Новости» сообщил о 39 пострадавших. В Москве протестующие собирались в центре города на Пушкинской площади. По МВД по данным на 14:40 сообщало о 4 тыс. участниках. По последним данным «ОВД-Инфо», в Москве задержали 513 человек, по всей России — 1614. О том, как проходят акции в Москве и других регионах,— в онлайн-трансляции “Ъ”.",https://www.kommersant.ru/doc/4661064,"Sat, 23 Jan 2021 18:15:00 +0300"
Дептранс посоветовал избегать поездок в центр Москвы,"Департамент транспорта Москвы попросил по возможности избегать поездок в центр столицы из-за проходящей там несогласованной акции в поддержку оппозиционера Алексея Навального. Участники акции выходят на проезжую часть и блокируют движение городского и личного транспорта.«Почти 200 машин такси заблокировано участниками несанкционированных акций. Пожалуйста, по возможности избегайте поездок в центр»,— сообщил дептранс в Telegram.Из-за проблем с движением временно изменены проходящие по Тверской улице маршруты общественного транспорта. Автобусы М1 ходят на участках от Больницы РЖД до площади Тверской Заставы и от улицы Кравченко до кинотеатра «Ударник». Автобусы 101 и 904 вместо станции метро «Китай-город» идут до Тверской Заставы. Маршруты Т13 и 24 задерживаются.По данным «ОВД-Инфо» на 17:35, в Москве задержали 513 участников акции. МВД Москвы ранее сообщало о 4 тыс. участников протестов. Городской оперштаб по борьбе с коронавирусом заявил, что на мероприятие в поддержку оппозиционера пришли 19 человек…",https://www.kommersant.ru/doc/4661059,"Sat, 23 Jan 2021 17:54:00 +0300"
"Власти Москвы сообщили, что на митинг пришли 19 зараженных коронавирусом","В Москве на акцию в поддержку оппозиционера Алексея Навального пришли 19 человек с коронавирусом, сообщил городской оперштаб в Telegram. Это зафиксировало приложение «Социальный мониторинг».«В отношении этих лиц зафиксированы факты нарушения карантина и обязательной самоизоляции.  Напомним, что ранее руководитель столичного Роспотребнадзора (Елена Андреева.—“Ъ”) сообщала, что массовые акции могут привести к дестабилизации эпидситуации»,— говорится в сообщении.В Москве протестующие собирались в центре города на Пушкинской площади. По оценке Reuters, на митинг пришли как минимум 40 тыс. человек. МВД по данным на 14:40 сообщало о 4 тыс. участниках. По последним данным «ОВД-Инфо», в Москве задержали 395 человек, по всей России — 1338. О том, как проходят акции в Москве и других регионах,— в онлайн-трансляции “Ъ”.",https://www.kommersant.ru/doc/4661056,"Sat, 23 Jan 2021 17:29:00 +0300"
Захарова: дипломатам США придется объяснить публикацию маршрутов протестов в России,"Представителям посольства США придется объясниться в МИД России по поводу публикации мест и времени проведения несогласованных акций в поддержку оппозиционера Алексея Навального, заявила официальный представитель МИД Мария Захарова.«Посольство США в Москве опубликовало ""маршруты протестов"" в городах России и вбросило информацию о ""походе на Кремль"". Что это было: установка или инструкция? О таких планах даже организаторы не заявляли. Американским коллегам придется объясняться на Смоленской площади»,— написала госпожа Захарова в Facebook.По ее словам, если бы российское посольство в США опубликовало подобную карту с указанием конечной точки в Капитолии, то это закончилось бы « глобальной истерией американских политиков, включая русофобские лозунги, угрозы введения санкций и высылки российских дипломатов».Пресс-секретарь посольства Ребекка Росс сообщила, что ведомство следит за сообщениями о протестах в 38 российских городах и задержаниях мирных протестующих и журналистов. «США поддерживают право людей…",https://www.kommersant.ru/doc/4661052,"Sat, 23 Jan 2021 17:27:00 +0300"
Во Владивостоке возбудили уголовные дела о насилии в отношении силовиков,"Во Владивостоке возбудили два уголовных дела о применении насилия в отношении представителя власти (ч. 1 ст. 318 УК РФ), сообщается на сайте Следственного комитета России (СКР). Инциденты произошли 23 января во время акции в поддержку оппозиционера Алексея Навального.Один подозреваемый — 28-летний житель Владивостока. По данным СКР, он, находясь на проезжей части, схватил за шею командира одного из взводов ОМОНа, попытался повалить его на землю и нанес ему не мене двух ударов. Подозреваемый задержан. Еще один мужчина в маске несколько раз ударил заместителя командира полка и старшего инспектора отделения организации службы полка Патрульно-постовой службы местного управления МВД. Его личность еще не установлена. Сегодня в разных городах России проходят митинги в поддержку Алексея Навального. По данным «ОВД-Инфо», по стране задержали уже 1338 человек, во Владивостоке — 35. Подробнее об акциях в поддержку Алексея Навального — в онлайн-трансляции “Ъ”.",https://www.kommersant.ru/doc/4661050,"Sat, 23 Jan 2021 17:17:00 +0300"
В Минске на митингах начались задержания,"В Белоруссии во время акций протеста начались задержания, портал Tut.by информирует о порядка 100 задержанных. Правозащитный центр «Весна» сообщает о 13 задержанных в Минске на момент выпуска новости.Проходящие сегодня, 23 января, акции называются «Цепи солидарности». В Минске, по данным правозащитников, проводятся точечные задержания демонстрантов.Несколько человек провели акцию напротив стелы «Минск — город-герой». Они держали бело-красно-белые флаги — символ оппозиции.Сообщается, что в Минске во время раздачи еды бедным задержаны активисты «Еды вместо бомб» в Михайловском сквере. Также забрали людей, которые пришли получить поддержку. Активисты находятся в Октябрьском РУВД. Остальных увезли в Ленинское, фамилии задержанных выясняются.Ранее в Белоруссии массовые акции протеста проходили по воскресеньям. Они не прекращаются с августа 2020 года, когда в республике прошли президентские выборы. ЦИК объявил победителем Александра Лукашенко. Оппозиция считает, что победу одержала Светлана Тихановская",https://www.kommersant.ru/doc/4661047,"Sat, 23 Jan 2021 17:14:00 +0300"
В Курске уволили поддержавшего Навального полицейского,"Участковый уполномоченный Северо-Западного отдела полиции УМВД России по Курской области Руслан Агибалов уволен из органов внутренних дел, сообщили “Ъ” в ведомстве. Менее чем за сутки до увольнения майор выложил в сеть видеозапись, в которой он в служебной форме высказался в поддержку оппозиционера Алексея Навального, при этом попросил не расценивать свое заявление как призыв к участию в несанкционированных митингах 23 января.В ведомстве пояснили, что Руслан Агибалов уволен по отрицательным основаниям «за поступок, порочащий честь сотрудника органов внутренних дел». В пресс-службе УМВД подчеркнули, что полицейский нарушил закон о службе в органах внутренних дел. По данным ведомства, ранее у участкового были систематические нарушения по службе.Поддержку оппозиционеру полицейский объяснил анализом резонансных уголовных дел, в том числе дела хабаровского губернатора Сергея Фургала, а также загадочными смертями Никиты Исаева, Кирилла Толмацкого, Максима Марцинкевича, Сергея Доренко. «Также я боюсь, что, когда…",https://www.kommersant.ru/doc/4661044,"Sat, 23 Jan 2021 17:04:00 +0300"
